price,year,manufacturer,model,fuel,odometer,transmission
3300,1999,chrysler,300m,gas,162026,automatic
26995,2015,ford,f-350,diesel,232000,automatic
0,2021,nissan,titan xd,gas,2576,automatic
6950,2011,volkswagen,jetta,gas,116000,automatic
29995,2013,chevrolet,silverado 2500hd,diesel,173000,automatic
22795,2015,mercedes-benz,c-class,gas,67870,automatic
0,2014,,Freightliner Cascadia,diesel,100,automatic
8995,2005,nissan,altima 3.5 sl,gas,53320,automatic
1250,1988,ford,bronco ii,gas,90000,manual
1500,1988,,1988,gas,89000,manual
48900,2018,chevrolet,silverado 2500 hd ltz,diesel,43034,automatic
9988,2014,kia,sorento lx,gas,121259,automatic
24888,2019,ford,f150 regular cab xl,gas,8176,automatic
28490,2020,nissan,murano,gas,6154,automatic
31968,2020,infiniti,q50,gas,27441,automatic
21334,2021,toyota,corolla,gas,7277,automatic
16888,2008,toyota,fj cruiser 4x4,gas,188096,automatic
19888,2015,mercedes-benz,benz ml 450,gas,111261,automatic
31888,2015,gmc,1500 yukon slt,gas,109947,automatic
500,2021,,SPECIAL FINANCE PROGRAM 2020,other,1400,other
10997,2010,ford,explorer sport trac,gas,137906,automatic
29800,2019,chevrolet,silverado 1500,gas,39000,automatic
1350,1999,,plymouth voyager,gas,200000,automatic
50990,2017,mercedes-benz,s-class,gas,68643,automatic
9500,1968,pontiac,firebird,gas,175000,automatic
1300,1969,mercedes-benz,benz,gas,12774,automatic
22500,1929,ford,,gas,9999999,automatic
3999,2003,infiniti,g35 sedan,gas,233830,automatic
5900,2011,ford,fiesta se,gas,109000,automatic
2800,2002,pontiac,grand am gt 1,gas,128783,manual
28995,2017,chevrolet,silverado 2500hd,gas,102000,automatic
34950,2016,nissan,titan xd cummins platinum,diesel,158159,automatic
99950,2021,chevrolet,corvette stingray spor,gas,510,automatic
29950,1998,pontiac,firebird trans am ws6,gas,16429,automatic
39995,1999,dodge,viper rt 10 removable top,gas,15897,manual
2550,2004,cadillac,srx,gas,224105,automatic
8800,2007,gmc,denali,gas,269000,automatic
1,2012,ford,f250 super duty,gas,150000,automatic
7500,1969,,oldsmobile cutlass,gas,80000,automatic
16990,2019,toyota,corolla,gas,44752,automatic
12499,2012,toyota,camry,gas,64950,automatic
13999,2018,kia,soul,gas,46848,automatic
28249,2016,toyota,tundra double cab,gas,78000,automatic
7999,2007,toyota,camry,gas,67650,automatic
8799,2006,acura,tsx,gas,89375,automatic
19990,2017,nissan,pathfinder,gas,53950,automatic
2975,2006,,Suzuki XL-7,gas,217353,automatic
18800,2000,,INTERNATIONAL 4700 DUMP,diesel,193348,automatic
19900,2011,ford,f250 service,gas,142268,automatic
9990,2015,toyota,corolla le,gas,125224,automatic
29950,2014,gmc,sierra 1500,gas,139029,automatic
9990,2009,lexus,rx350,gas,163230,automatic
0,2017,gmc,sierra 1500,gas,60015,other
45950,2014,gmc,sierra 2500hd denali,diesel,154289,automatic
17897,2015,lincoln,mkz,gas,91067,other
11500,2008,ford,f-250 super duty xl,diesel,283356,automatic
7990,2011,bmw,328i,gas,123000,automatic
9990,2009,bmw,x5,gas,93659,automatic
11990,2011,honda,crv ex-l,gas,109000,automatic
0,2014,buick,enclave,gas,143136,automatic
15990,2015,chevrolet,camaro,gas,53000,automatic
0,2018,honda,cr v,gas,22761,automatic
14700,2015,honda,cr-v ex-l,gas,70672,automatic
500,2021,,SPECIAL FINANCE PROGRAM 2020,other,1400,other
11295,2014,chevrolet,sonic,gas,49019,automatic
4350,2015,,smart fortwo,gas,69974,automatic
2450,2000,infiniti,qx4,gas,246653,automatic
12950,2013,lexus,ct200h hybrid,gas,77000,automatic
30488,2020,infiniti,q50,gas,29366,automatic
17989,2018,toyota,camry,gas,120943,automatic
22602,2021,toyota,corolla,gas,10883,automatic
12977,2011,lexus,rx,gas,140994,automatic
12995,2008,ford,f150 xl,gas,93146,automatic
36995,2012,ford,f250 super duty 4x4,gas,41364,automatic
31995,2017,ford,f350 super duty,gas,129638,automatic
25995,2015,gmc,sierra 2500hd,gas,126690,automatic
29990,2019,mazda,mx-5 miata grand touring,gas,5247,other
34995,2015,ford,f250 super duty 4x4,gas,84526,automatic
31995,2012,ford,f350 super duty,gas,24692,automatic
34995,2017,ford,f250 sd xlt,gas,138052,automatic
16590,2016,jeep,renegade sport suv 4d,gas,35835,other
16995,2008,chevrolet,express 3500,gas,158114,automatic
25590,2017,jeep,grand cherokee laredo sport,other,31315,other
12995,2016,chrysler,200,gas,72754,automatic
27995,2017,nissan,nv2500 hd cargo,gas,48769,automatic
24995,2012,ford,f250 xl super duty,gas,52377,automatic
28995,2012,ford,econoline commercial,gas,93923,automatic
27995,2012,ford,f350 super duty,gas,45822,automatic
13995,2015,nissan,nv200,gas,86580,automatic
32995,2012,ford,f250 super duty,gas,37473,automatic
4995,2005,ford,freestar ses,gas,121724,automatic
27995,2012,ford,f250 super duty,gas,26896,automatic
24995,2012,ford,f-250 super duty,gas,40023,automatic
36995,2013,chevrolet,silverado 3500hd,gas,58056,automatic
36995,2017,chevrolet,silverado 2500hd,gas,43553,automatic
39590,2017,chevrolet,camaro ss coupe 2d,gas,10496,other
26990,2016,ford,f150 regular cab xl pickup,gas,14230,other
36990,2015,chevrolet,tahoe lt sport utility,other,51677,other
5500,2001,ford,e350 van,diesel,340000,automatic
1500,2011,ford,crown victoria,gas,123000,automatic
25500,2015,jaguar,xj,,71114,automatic
3500,1995,honda,civic del sol si,gas,215000,manual
9900,2013,gmc,terrain,gas,148285,automatic
20900,2017,ford,f150,gas,147124,automatic
